,bank_account,credit_card,credit_reporting,debt_collection,money_transfer,mortgage,other,personal_loan,student_loan,vehicle_loan
bank_account,296,35,9,4,26,2,0,3,0,2
credit_card,20,364,69,6,9,1,0,7,1,3
credit_reporting,11,46,4728,108,1,13,6,8,7,10
debt_collection,4,25,191,563,0,1,0,8,9,5
money_transfer,31,8,2,5,174,1,0,0,1,0
mortgage,8,3,18,4,0,253,0,10,2,0
other,0,2,54,12,1,2,6,0,0,0
personal_loan,4,6,17,10,0,5,0,39,1,4
student_loan,0,0,22,3,0,3,0,5,88,0
vehicle_loan,0,4,22,4,1,0,0,5,0,59
