,bank_account,credit_card,credit_reporting,debt_collection,money_transfer,mortgage,other,personal_loan,student_loan,vehicle_loan
bank_account,289,32,22,5,25,3,0,0,0,1
credit_card,22,358,78,8,8,0,0,2,1,3
credit_reporting,12,35,4726,116,2,25,3,0,10,9
debt_collection,2,15,219,557,0,2,0,0,6,5
money_transfer,42,12,5,2,160,1,0,0,0,0
mortgage,1,3,22,4,0,267,0,1,0,0
other,1,1,52,13,1,3,6,0,0,0
personal_loan,5,7,26,10,1,5,0,25,0,7
student_loan,0,2,26,4,0,1,0,2,86,0
vehicle_loan,0,4,36,7,0,0,0,6,1,41
