,bank_account,credit_card,credit_reporting,debt_collection,money_transfer,mortgage,other,personal_loan,student_loan,vehicle_loan
bank_account,290,38,28,3,16,1,0,0,0,1
credit_card,16,345,102,8,7,0,0,0,0,2
credit_reporting,10,31,4760,108,1,19,0,0,6,3
debt_collection,3,12,240,543,0,2,0,0,2,4
money_transfer,53,13,13,0,142,1,0,0,0,0
mortgage,5,2,30,6,0,255,0,0,0,0
other,1,1,56,14,1,3,1,0,0,0
personal_loan,5,13,32,11,1,7,0,10,1,6
student_loan,0,0,38,9,0,4,0,0,70,0
vehicle_loan,2,5,49,6,0,1,0,2,0,30
